ID,Population,Individual,LGRScaleGeneticsIDLink,DateSampled,PhenotypicSex,Length,Clip,Wire,PIT,Disposition,GenComments,GenSex,GenPa,GenMa,PopName,agePBT,GSIRepUnit,RepUnitProb,ReleaseGroup,Age,Origin,Rear,HaulTo,Pooled FL
3655,OtsLGRF25S,OtsLGRF25S_6041,C-06041,22-Sep-25,F,79,AI,NA,3DD.003D7F72D0,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,82
3663,OtsLGRF25S,OtsLGRF25S_6053,C-06053,22-Sep-25,M,66,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,,67
3670,OtsLGRF25S,OtsLGRF25S_6061,C-06061,23-Sep-25,F,74,AI,NA,3DD.003D7F6732,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
3688,OtsLGRF25S,OtsLGRF25S_6083,C-06083,23-Sep-25,M,46,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.1,,,,47
3699,OtsLGRF25S,OtsLGRF25S_6101,C-06101,23-Sep-25,M,62,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3701,OtsLGRF25S,OtsLGRF25S_6105,C-06105,23-Sep-25,M,51,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.1,,,,52
3731,OtsLGRF25S,OtsLGRF25S_6143,C-06143,23-Sep-25,M,60,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3741,OtsLGRF25S,OtsLGRF25S_6157,C-06157,23-Sep-25,F,84,AI,NA,3DD.003D7F6731,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,87
3747,OtsLGRF25S,OtsLGRF25S_6163,C-06163,23-Sep-25,M,71,AI,NA,3DD.003D7F6735,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,1.2,H,RR,LyonsFerryHatchery,72
3750,OtsLGRF25S,OtsLGRF25S_6169,C-06169,23-Sep-25,F,85,AI,NA,3DD.003D7F671D,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,87
3754,OtsLGRF25S,OtsLGRF25S_6173,C-06173,23-Sep-25,M,68,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.4,,,,72
3755,OtsLGRF25S,OtsLGRF25S_6175,C-06175,23-Sep-25,F,61,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3761,OtsLGRF25S,OtsLGRF25S_6183,C-06183,24-Sep-25,F,72,AI,NA,3DD.003D7F66FD,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,72
3774,OtsLGRF25S,OtsLGRF25S_6199,C-06199,24-Sep-25,F,80,AI,NA,3DD.003D7F6719,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,1.4,H,RR,LyonsFerryHatchery,82
3777,OtsLGRF25S,OtsLGRF25S_6203,C-06203,24-Sep-25,F,80,AI,NA,3DD.003D7F6738,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,82
3803,OtsLGRF25S,OtsLGRF25S_6239,C-06239,24-Sep-25,M,70,AI,NA,3DD.003D7F673A,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,72
3817,OtsLGRF25S,OtsLGRF25S_6263,C-06263,24-Sep-25,F,77,AI,NA,3DD.0077CC9F6E,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,77
3824,OtsLGRF25S,OtsLGRF25S_6273,C-06273,24-Sep-25,M,59,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3830,OtsLGRF25S,OtsLGRF25S_6281,C-06281,24-Sep-25,M,60,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3832,OtsLGRF25S,OtsLGRF25S_6283,C-06283,24-Sep-25,F,72,AI,NA,3DD.003D7F66EC,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,72
3846,OtsLGRF25S,OtsLGRF25S_6305,C-06305,24-Sep-25,F,74,AI,NA,3DD.0077B54320,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
3855,OtsLGRF25S,OtsLGRF25S_6315,C-06315,24-Sep-25,M,69,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,72
3872,OtsLGRF25S,OtsLGRF25S_6339,C-06339,24-Sep-25,M,66,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3880,OtsLGRF25S,OtsLGRF25S_6349,C-06349,24-Sep-25,F,77,AI,NA,3DD.0077B4197F,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,77
3883,OtsLGRF25S,OtsLGRF25S_6353,C-06353,24-Sep-25,F,74,AI,NA,3DD.0077B356DC,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,77
3884,OtsLGRF25S,OtsLGRF25S_6355,C-06355,24-Sep-25,M,68,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,72
3886,OtsLGRF25S,OtsLGRF25S_6359,C-06359,25-Sep-25,F,82,AI,NA,3DD.0077B45B05,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,82
3905,OtsLGRF25S,OtsLGRF25S_6381,C-06381,25-Sep-25,F,62,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3906,OtsLGRF25S,OtsLGRF25S_6383,C-06383,25-Sep-25,M,45,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.1,,,,47
3926,OtsLGRF25S,OtsLGRF25S_6411,C-06411,25-Sep-25,M,69,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.4,,,,72
3928,OtsLGRF25S,OtsLGRF25S_6413,C-06413,25-Sep-25,M,59,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3931,OtsLGRF25S,OtsLGRF25S_6417,C-06417,25-Sep-25,F,72,AI,NA,3DD.0077CC6CB7,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,1.2,H,Y,LyonsFerryHatchery,72
3935,OtsLGRF25S,OtsLGRF25S_6423,C-06423,25-Sep-25,M,58,AI,NA,NA,RR,NA,U,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3956,OtsLGRF25S,OtsLGRF25S_6453,C-06453,25-Sep-25,M,70,AI,NA,3DD.0077B426F6,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,72
3972,OtsLGRF25S,OtsLGRF25S_6475,C-06475,25-Sep-25,M,60,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
